@relation 'train_feature-weka'

@attribute num_invitees numeric
@attribute num_maybe numeric
@attribute num_no numeric
@attribute num_yes numeric
@attribute num_friends numeric
@attribute friends_invited_ratio numeric
@attribute friends_maybe_ratio numeric
@attribute friends_no_ratio numeric
@attribute friends_yes_ratio numeric
@attribute time_2_event_in_hours numeric
@attribute user_saw_2_event_start_in_days numeric
@attribute interested {0,1}

@data
720,90,30,90,1872,0.001068,0,0,0,1603,4,0
50,28,6,28,92,0,0,0,0,1640,40,0
366,33,6,33,383,0.015666,0,0.002611,0,1576,91,0
770,8,38,8,358,0.01676,0,0,0,1602,64,0
846,66,26,66,577,0.003466,0,0,0,1567,87,0
290,28,0,28,188,0.010638,0,0,0,1576,15,0
444,6,0,6,568,0.017606,0,0,0,1585,44,0
202,94,6,94,1558,0.001284,0,0,0,1582,466,0
1956,200,98,200,1497,0.002672,0,0,0,1627,49,0
92,16,2,16,740,0.027027,0,0,0,1625,30,0
596,48,10,48,1714,0,0,0,0.001167,1633,0,0
1264,26,72,26,1088,0.553309,0.011029,0.023897,0.03125,1630,114,0
10862,110,872,110,240,0.066667,0,0,0.008333,1695,515,0
5000,414,328,414,1736,0.004608,0.001152,0,0,1600,98,0
166,18,19,18,26,0.038462,0,0,0,1612,16,0
3947,158,144,158,502,0.001992,0,0,0,1591,53,0
5862,182,234,182,1558,0.038511,0.002567,0.001284,0.002567,1598,88,0
68,6,14,6,1775,0.001127,0,0,0,1562,303,0
20,6,0,6,1439,0,0,0,0.00139,1625,84,0
9050,792,438,792,1254,0.035088,0.001595,0.001595,0.00319,1577,702,0
11406,1448,666,1448,1596,0.048872,0.011278,0.001253,0.002506,1596,96,0
9788,2,2,2,755,0.002649,0,0,0,1595,88,0
2759,36,71,36,316,0.075949,0.003165,0,0.003165,1599,93,0
9050,792,438,792,1195,0.048536,0.003347,0,0.015063,1577,1062,0
64,12,4,12,530,0.018868,0,0.007547,0.015094,1577,145,0
164,3,1,3,518,0.001931,0.001931,0,0,1598,25,0
72,0,2,0,1424,0.001404,0,0,0,1603,4,0
692,44,44,44,108,0,0,0,0.018519,1631,64,0
4784,50,188,50,1339,0.004481,0.001494,0.001494,0,1571,450,0
34,6,4,6,1668,0.001199,0,0,0,1615,18,0
2442,100,100,100,1024,0.005859,0,0.001953,0.001953,1617,90,0
48,8,1,8,1011,0.001978,0,0,0.000989,1569,42,1
278,7,12,7,1044,0.02682,0,0,0,1588,19,0
200,6,0,6,855,0.007018,0,0,0,1601,16,0
66,24,8,24,131,0.015267,0,0,0,1639,1424,0
8390,38,120,38,489,0.07771,0,0,0,1598,28,0
9558,314,272,314,783,0.012771,0,0,0,1598,112,0
602,94,82,94,739,0.051421,0.005413,0.013532,0.002706,1559,3762,0
5530,208,812,208,212,0.009434,0,0,0.009434,1538,1074,0
334,0,4,0,261,0.007663,0,0,0,1622,42,0
1662,46,16,46,1171,0.001708,0,0,0,1601,64,0
16,8,4,8,3497,0.000572,0,0,0,1605,7,0
90,6,8,6,1470,0.001361,0,0,0,1601,16,0
1956,200,98,200,1409,0,0,0,0,1627,49,0
40,22,0,22,2874,0,0,0,0.000696,1603,2,0
10,2,0,2,3906,0,0,0,0.000512,1635,16,0
202,98,0,98,259,0.007722,0,0,0,1590,35,0
160,26,12,26,577,0.031196,0.006932,0,0.003466,1570,15,0
7628,130,110,130,438,0.050228,0,0,0,1625,19,0
146,124,12,124,229,0,0,0,0.008734,1598,80,0
1852,112,48,112,826,0,0,0,0,1590,282,0
1926,132,146,132,1933,0.004139,0,0.001035,0,1596,90,0
7710,262,104,262,239,0.008368,0,0,0,1604,101,0
78,0,2,0,338,0.047337,0,0,0,1597,112,0
134,48,2,48,351,0.011396,0.017094,0,0,1603,89,0
4814,28,68,28,412,0.087379,0,0,0,1640,17,0
3512,52,374,52,310,0.16129,0,0.006452,0.006452,1570,3473,1
762,82,90,82,755,0.018543,0.002649,0.002649,0.018543,1694,101,0
3602,290,132,290,1462,0.012312,0.001368,0.001368,0.001368,1598,76,0
824,56,24,56,1376,0.023256,0,0,0,1618,90,1
2934,100,98,100,285,0.007018,0,0,0,1598,29,0
1960,14,18,14,744,0.126344,0,0,0,1578,91,0
602,26,34,26,249,0.168675,0,0.016064,0,1582,114,0
9604,196,304,196,742,0.010782,0.002695,0,0.002695,1595,113,0
1810,20,30,20,1660,0.019277,0,0.001205,0,1606,6,0
66,76,2,76,716,0,0,0,0.002793,1621,4,0
92,2,4,2,674,0.002967,0,0,0,1600,91,0
38,6,4,6,446,0,0,0,0.004484,1633,66,0
11772,1140,1494,1140,1001,0.003996,0,0,0,1569,1240,0
50,1,1,1,1173,0.011083,0,0,0.001705,1564,118,0
390,74,16,74,1488,0.002688,0.001344,0,0,1603,91,0
